# BUSCO version is: 3.0.1 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /opt/asn/apps/anaconda_3-4.2.0_cent/bin/run_BUSCO.py -i /scratch/aubsys/DNAData//Fov891A.contigs.fasta -o Fov891A_BUSCO -l /scratch/aubsys/busco/dikarya_odb9/ -m genome -c 10 -sp fusarium_graminearum
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG092608AE	Complete	tig00007956	1736288	1742687	1023.5	854
EOG092608AV	Complete	tig00007936	5368845	5372640	1029.1	850
EOG092608C4	Complete	tig00007953	1604077	1608487	1587.5	1017
EOG092608GK	Complete	tig00007956	1547999	1552528	473.0	859
EOG092608L0	Complete	tig00007936	4897245	4901045	1565.8	900
EOG092608RH	Complete	tig00007939	3092890	3096552	601.4	858
EOG092608T8	Complete	tig00000154	2853896	2857528	1340.8	737
EOG092608WI	Complete	tig00007936	3605617	3609087	616.9	518
EOG092608WU	Complete	tig00000154	3132266	3136454	676.0	795
EOG092608ZS	Complete	tig00007953	772953	776551	1217.2	777
EOG0926092K	Complete	tig00007946	2585055	2588325	1612.3	906
EOG09260931	Complete	tig00007936	2500203	2503289	494.0	631
EOG092609JB	Complete	tig00007936	1552510	1555455	853.8	679
EOG092609O9	Complete	tig00007953	1243263	1249095	1054.9	871
EOG092609RF	Complete	tig00007956	1539747	1544288	1472.5	944
EOG092609YT	Complete	tig00000349	1473290	1476653	937.3	754
EOG09260A27	Complete	tig00007936	3527977	3531814	739.2	567
EOG09260A6Q	Complete	tig00007946	2575442	2579784	695.3	691
EOG09260A98	Complete	tig00007939	3514171	3518111	806.0	885
EOG09260ABY	Complete	tig00007946	3195194	3198971	1572.7	947
EOG09260AEC	Complete	tig00007956	2034616	2036571	615.5	435
EOG09260APA	Complete	tig00007953	3134910	3138677	308.5	473
EOG09260AQB	Complete	tig00007936	4109835	4112838	1353.5	808
EOG09260AZA	Complete	tig00007965	2061451	2064659	1589.7	843
EOG09260AZK	Complete	tig00007956	1716917	1719779	884.8	680
EOG09260AZM	Complete	tig00007939	3880687	3884694	1348.5	819
EOG09260B3H	Complete	tig00007936	2007707	2011411	660.5	531
EOG09260B3X	Complete	tig00007939	4536198	4539140	1031.3	702
EOG09260B65	Complete	tig00000154	1132307	1135423	704.4	730
EOG09260BFE	Complete	tig00000154	2727296	2730037	372.0	430
EOG09260BL6	Complete	tig00007953	907557	911727	551.4	539
EOG09260BRA	Complete	tig00007953	511882	515123	669.4	388
EOG09260BSW	Complete	tig00000523	1524410	1527641	1003.5	710
EOG09260BYL	Complete	tig00007936	4755511	4758730	1025.7	523
EOG09260BZ0	Complete	tig00007939	1603953	1607737	833.6	755
EOG09260C2V	Complete	tig00007936	2693121	2695485	822.6	709
EOG09260C5W	Complete	tig00000154	2325732	2331975	1127.4	1232
EOG09260CKC	Complete	tig00007936	4172080	4175715	813.5	686
EOG09260CMZ	Complete	tig00007946	2515602	2519138	417.6	576
EOG09260DBG	Complete	tig00007956	2781730	2784891	1222.7	758
EOG09260DFH	Complete	tig00007939	4716319	4719566	983.0	838
EOG09260DFJ	Complete	tig00000154	827090	832132	566.6	558
EOG09260DP1	Complete	tig00001349	32419	36256	1182.3	760
EOG09260DUR	Complete	tig00000154	3635952	3639122	616.9	546
EOG09260DUW	Complete	tig00007936	1319115	1322183	588.0	683
EOG09260DXP	Complete	tig00007939	1592357	1595828	928.2	654
EOG09260E2O	Complete	tig00000154	3681050	3683855	1131.8	687
EOG09260E8K	Duplicated	tig00007965	1390599	1393890	1217.2	819
EOG09260E8K	Duplicated	tig00008009	898852	902110	1048.4	822
EOG09260EAZ	Complete	tig00000154	2486688	2490387	714.5	914
EOG09260EE7	Complete	tig00000154	2886719	2889652	1016.4	708
EOG09260EOI	Complete	tig00007936	2092865	2098964	551.6	751
EOG09260EPQ	Complete	tig00007939	3312628	3315518	935.5	615
EOG09260EPS	Complete	tig00000347	357829	362144	221.1	532
EOG09260EQD	Complete	tig00007939	4205194	4209620	336.1	410
EOG09260ERO	Complete	tig00007953	3368374	3371682	1507.4	876
EOG09260ETR	Complete	tig00007936	1365838	1369202	1416.2	824
EOG09260EZT	Complete	tig00007953	4107507	4119841	642.6	520
EOG09260FFP	Complete	tig00007956	3479960	3482593	275.3	199
EOG09260FKU	Complete	tig00007936	3654725	3657328	291.1	306
EOG09260FL2	Complete	tig00000523	1512751	1515564	811.5	691
EOG09260FMW	Complete	tig00007953	4044285	4049413	1079.9	714
EOG09260FPA	Complete	tig00007965	1422636	1426908	912.6	779
EOG09260FX0	Complete	tig00007939	3284038	3287406	691.5	767
EOG09260FZZ	Complete	tig00007936	5623023	5626293	746.3	670
EOG09260GF5	Complete	tig00007936	5216631	5221976	1037.5	1229
EOG09260GIX	Duplicated	tig00007939	4692501	4695782	466.4	436
EOG09260GIX	Duplicated	tig00008001	139569	142808	438.5	423
EOG09260GKG	Complete	tig00000523	2195555	2198620	1322.1	804
EOG09260GOF	Complete	tig00007939	799736	802110	453.2	337
EOG09260GR8	Complete	tig00000347	2116699	2119390	535.2	506
EOG09260H6E	Complete	tig00000154	3956779	3958740	361.2	229
EOG09260H81	Complete	tig00000154	2026720	2030255	546.4	608
EOG09260HMA	Complete	tig00007953	1714108	1717017	1179.4	781
EOG09260HPO	Complete	tig00007936	1988269	1991355	1278.8	821
EOG09260HS3	Complete	tig00007946	2197882	2200882	875.9	719
EOG09260HSP	Duplicated	tig00000154	1617738	1620215	1023.9	575
EOG09260HSP	Duplicated	tig00007990	481803	484169	964.6	556
EOG09260IU8	Complete	tig00007953	3503693	3506981	434.1	644
EOG09260J53	Complete	tig00007936	3355582	3358002	970.0	600
EOG09260J8F	Complete	tig00007953	608187	610824	736.9	467
EOG09260J97	Complete	tig00000523	2173610	2176180	730.2	602
EOG09260JDM	Complete	tig00000154	2692381	2695560	393.2	279
EOG09260JED	Complete	tig00007953	3025570	3028422	1190.4	733
EOG09260JJW	Complete	tig00000154	2172992	2175358	604.0	519
EOG09260JNY	Complete	tig00007936	4328682	4331873	263.1	403
EOG09260JO5	Complete	tig00007965	2258280	2262325	1001.6	816
EOG09260JPV	Complete	tig00007946	2933201	2936224	629.9	751
EOG09260JT9	Complete	tig00000523	1679930	1682925	1161.4	695
EOG09260JTZ	Complete	tig00007956	3055317	3058287	1211.2	785
EOG09260K24	Complete	tig00007953	4716269	4718622	837.6	598
EOG09260K29	Complete	tig00007939	1230226	1232059	340.3	272
EOG09260K4B	Complete	tig00007956	1452292	1455728	725.0	525
EOG09260K4V	Complete	tig00000347	642014	645326	1012.1	779
EOG09260K5F	Complete	tig00007939	3761896	3764154	582.8	579
EOG09260KCB	Complete	tig00007939	3052929	3055059	461.7	497
EOG09260KCW	Complete	tig00007936	2985033	2997402	996.9	569
EOG09260KDB	Complete	tig00007939	1552330	1555532	971.4	744
EOG09260KGS	Complete	tig00007946	1834097	1837332	448.0	706
EOG09260KIY	Complete	tig00000154	840877	843232	584.8	391
EOG09260KM4	Complete	tig00000347	1699626	1701671	182.3	297
EOG09260KNI	Complete	tig00007936	3185304	3186618	328.4	297
EOG09260KNR	Complete	tig00007953	3164464	3166683	557.5	463
EOG09260KUC	Complete	tig00000154	3965699	3968558	896.6	564
EOG09260KWP	Complete	tig00007936	5599261	5602717	798.4	540
EOG09260LBU	Complete	tig00007946	2949446	2951860	1118.9	660
EOG09260LI6	Complete	tig00000154	3089682	3093057	769.2	641
EOG09260LJ8	Complete	tig00007953	3287341	3289334	592.0	393
EOG09260LRX	Complete	tig00000523	1363556	1366679	557.7	529
EOG09260LS9	Complete	tig00007953	1704303	1705331	327.6	238
EOG09260LVD	Complete	tig00007939	4075023	4080798	177.4	192
EOG09260M44	Complete	tig00007936	3191403	3194485	406.2	572
EOG09260M87	Complete	tig00007939	3067141	3070476	836.8	571
EOG09260MBW	Complete	tig00007946	2832117	2835060	480.7	525
EOG09260MRU	Complete	tig00000154	2213090	2216234	897.2	612
EOG09260N2T	Complete	tig00007953	2526054	2529125	319.4	412
EOG09260N53	Complete	tig00007939	3709644	3712310	670.2	538
EOG09260NAN	Complete	tig00007936	4431897	4435065	258.9	366
EOG09260NC6	Complete	tig00007946	3219519	3221945	780.1	532
EOG09260NE0	Complete	tig00007956	2322074	2324017	109.0	120
EOG09260NHB	Complete	tig00007953	4149940	4154607	386.5	673
EOG09260NHN	Complete	tig00007953	3440310	3444053	1239.4	744
EOG09260NJW	Complete	tig00000154	4140649	4144227	1095.3	750
EOG09260NNR	Complete	tig00007939	4731652	4734976	900.3	538
EOG09260NWN	Complete	tig00007936	5425398	5428944	799.1	717
EOG09260NXC	Complete	tig00000154	4304086	4307346	622.3	562
EOG09260NXJ	Complete	tig00000154	3865866	3868693	780.3	657
EOG09260NY2	Complete	tig00000523	1238927	1241668	610.5	588
EOG09260NZ8	Complete	tig00007946	1711126	1712974	567.4	417
EOG09260OCI	Complete	tig00007965	2178591	2181981	358.1	524
EOG09260OE9	Complete	tig00000154	3836291	3840766	672.8	779
EOG09260OLB	Missing
EOG09260OM6	Complete	tig00007953	1964281	1966623	1088.1	602
EOG09260OQ8	Complete	tig00000154	3317157	3320398	877.6	708
EOG09260OZU	Complete	tig00000154	2396443	2401446	565.3	815
EOG09260P2K	Complete	tig00007953	4719060	4722875	623.8	527
EOG09260P5R	Complete	tig00007953	1272599	1278132	324.2	225
EOG09260PI1	Complete	tig00000154	3505500	3508078	499.9	433
EOG09260PJ9	Complete	tig00007936	5756475	5760935	393.7	303
EOG09260QNB	Complete	tig00007953	2859030	2861430	709.9	556
EOG09260QVP	Complete	tig00007936	974105	977062	284.9	338
EOG09260R84	Complete	tig00000154	3208170	3211774	344.1	437
EOG09260R9L	Complete	tig00007953	3800366	3803551	424.4	389
EOG09260RGH	Complete	tig00007965	1375681	1378452	711.3	537
EOG09260RNZ	Complete	tig00007946	2705820	2708641	336.6	524
EOG09260RRC	Complete	tig00007936	2318606	2321554	869.7	602
EOG09260RRN	Complete	tig00007953	3794223	3797630	1232.9	729
EOG09260RS7	Complete	tig00007939	3217488	3219773	542.5	448
EOG09260RVQ	Complete	tig00000154	3286446	3289815	433.2	444
EOG09260S2Z	Complete	tig00007946	3097828	3100452	506.3	543
EOG09260S3L	Complete	tig00007953	3428941	3432264	376.9	439
EOG09260S5R	Complete	tig00007939	4149651	4151561	563.4	414
EOG09260SAH	Complete	tig00007946	2687667	2690216	532.3	496
EOG09260SIZ	Complete	tig00007939	4592439	4594927	819.0	578
EOG09260SJV	Complete	tig00007953	4033443	4036675	811.6	696
EOG09260SL3	Complete	tig00007953	2172027	2174560	1096.1	587
EOG09260SR2	Complete	tig00007946	1728626	1732370	360.7	635
EOG09260SRF	Complete	tig00007936	4160527	4163197	1141.3	614
EOG09260T28	Complete	tig00000523	2125493	2128359	790.1	604
EOG09260T4S	Complete	tig00000154	3892591	3896208	571.5	493
EOG09260TDY	Complete	tig00007946	3037701	3039812	257.4	405
EOG09260THV	Complete	tig00007946	1116691	1118360	413.8	299
EOG09260TLW	Complete	tig00007936	5540504	5542837	705.9	535
EOG09260TPT	Complete	tig00007956	1763465	1766185	316.1	371
EOG09260TUT	Complete	tig00007956	1871855	1873950	674.5	471
EOG09260TVA	Complete	tig00007936	2794452	2796987	1041.9	596
EOG09260TWS	Complete	tig00000347	129278	131658	926.5	571
EOG09260U6R	Complete	tig00007953	2579713	2582893	952.8	776
EOG09260UA2	Complete	tig00007936	4210102	4212194	606.4	401
EOG09260UJK	Complete	tig00007946	1933057	1935128	317.2	366
EOG09260UXC	Complete	tig00007965	1606864	1609959	464.8	503
EOG09260V5Q	Complete	tig00000154	3969218	3972002	751.2	562
EOG09260V8Q	Complete	tig00000347	1477444	1480446	368.2	317
EOG09260VCG	Complete	tig00007953	2870418	2872509	315.9	345
EOG09260VEY	Complete	tig00007936	999954	1002642	399.7	480
EOG09260VHV	Complete	tig00007953	3469220	3471655	637.3	562
EOG09260VTA	Complete	tig00007946	2323345	2325333	644.3	460
EOG09260VTN	Complete	tig00007946	1738367	1742634	730.6	511
EOG09260VYK	Complete	tig00007946	2472176	2474427	619.8	431
EOG09260W52	Complete	tig00007936	2521382	2524314	433.6	434
EOG09260W8D	Complete	tig00007965	1858277	1860550	855.1	612
EOG09260W9L	Complete	tig00000347	1388094	1391595	245.9	226
EOG09260WCZ	Complete	tig00000154	1898890	1902359	509.5	529
EOG09260WG2	Complete	tig00007939	4290242	4292860	692.5	530
EOG09260WGT	Complete	tig00007939	958624	960766	661.2	447
EOG09260WU6	Complete	tig00000154	3105346	3108019	439.0	385
EOG09260WUA	Complete	tig00007953	1849940	1852865	450.3	558
EOG09260WUS	Complete	tig00007936	4353080	4355688	643.9	628
EOG09260WYQ	Complete	tig00000523	1486307	1488457	864.1	561
EOG09260XH5	Complete	tig00007965	1408234	1410403	486.8	370
EOG09260XL0	Complete	tig00000154	1329418	1331645	666.9	493
EOG09260XMI	Complete	tig00000347	1664678	1667137	685.0	546
EOG09260XOG	Complete	tig00007946	2644553	2647032	1036.6	588
EOG09260XQV	Complete	tig00000523	1361057	1363267	572.6	437
EOG09260XSR	Complete	tig00007953	3763709	3767214	407.6	379
EOG09260Y2Q	Complete	tig00007956	2049092	2050683	440.6	322
EOG09260YMF	Complete	tig00007946	1449707	1452144	870.5	612
EOG09260Z3X	Complete	tig00007965	1319938	1321869	819.4	460
EOG09260Z5E	Complete	tig00007953	3038195	3041421	767.9	682
EOG09260ZG2	Complete	tig00007936	3300553	3302531	500.9	407
EOG09260ZWU	Complete	tig00007965	2004857	2007676	1157.8	621
EOG09261031	Complete	tig00007936	2610179	2611690	461.6	350
EOG092610KH	Complete	tig00007939	3152343	3154259	711.1	463
EOG092610LP	Complete	tig00000154	3745146	3748103	928.7	591
EOG092610LQ	Complete	tig00007936	3929524	3932230	340.0	241
EOG092610QT	Complete	tig00007936	1709402	1711488	368.2	364
EOG092610TN	Complete	tig00007936	2268196	2270977	727.0	553
EOG092610VI	Complete	tig00007939	4125697	4129332	1293.2	1002
EOG092610ZY	Complete	tig00007939	1616992	1620351	1121.9	885
EOG09261127	Complete	tig00000154	3051118	3053202	821.7	437
EOG0926112A	Complete	tig00000154	1463584	1466940	769.6	756
EOG09261145	Complete	tig00000347	254566	256944	853.8	476
EOG0926115P	Complete	tig00000154	2512233	2514412	296.0	213
EOG0926115V	Duplicated	tig00007936	3009588	3011493	192.0	151
EOG0926115V	Duplicated	tig00007942	227290	228985	166.0	158
EOG092611G7	Complete	tig00007939	4559877	4562430	656.7	517
EOG092611HB	Complete	tig00007936	1625191	1627494	437.9	303
EOG09261225	Complete	tig00000154	2701898	2704682	916.9	485
EOG0926129I	Complete	tig00007953	2179718	2182380	492.0	444
EOG092612AK	Complete	tig00007936	2132237	2134839	559.6	536
EOG092612CC	Complete	tig00007956	1728102	1729362	312.5	220
EOG092612J3	Complete	tig00007939	1506908	1508858	301.2	414
EOG092612LP	Complete	tig00000523	2219881	2222221	761.4	508
EOG092612MY	Complete	tig00007946	1762003	1765194	786.4	659
EOG092612XD	Complete	tig00007936	4611965	4615093	947.2	800
EOG0926131E	Complete	tig00007953	1588129	1589414	533.3	279
EOG0926133I	Complete	tig00007956	2053321	2055315	813.4	511
EOG0926137U	Complete	tig00007956	2331851	2337889	746.1	616
EOG092613QA	Complete	tig00007965	960132	962393	378.2	316
EOG092613R2	Complete	tig00007936	2260735	2263464	568.1	528
EOG092613S3	Complete	tig00000154	1912247	1914405	410.3	290
EOG092613UB	Complete	tig00007936	3156178	3161184	541.1	401
EOG09261404	Complete	tig00007936	4759650	4763219	525.0	468
EOG0926140Q	Complete	tig00000347	26845	29005	931.6	527
EOG0926142H	Complete	tig00007939	3243915	3245991	562.1	389
EOG0926142Y	Complete	tig00007965	1045477	1047841	683.9	509
EOG0926146A	Complete	tig00007936	2820876	2824431	766.2	523
EOG09261476	Complete	tig00007939	3429588	3433119	457.6	411
EOG092614DJ	Complete	tig00007956	3197714	3199249	350.8	304
EOG092614E6	Complete	tig00007939	1032457	1034409	869.8	487
EOG092614O9	Complete	tig00007936	3143389	3146664	677.5	475
EOG092614UB	Complete	tig00007956	3655162	3657281	461.5	318
EOG092614ZG	Complete	tig00007956	1260537	1262701	345.6	356
EOG0926158Y	Complete	tig00007939	4297553	4300180	391.9	385
EOG092615CC	Complete	tig00007939	3055832	3058639	625.3	458
EOG092615IE	Complete	tig00007953	3215228	3217582	666.2	508
EOG092615SM	Complete	tig00007965	2380145	2382646	689.8	625
EOG092615Y4	Complete	tig00007936	4659183	4660869	606.2	399
EOG09261660	Complete	tig00000154	3002558	3004624	432.2	425
EOG09261666	Complete	tig00007956	2845925	2848136	421.2	398
EOG092616QN	Complete	tig00000523	1253597	1256296	732.7	549
EOG092616YZ	Complete	tig00007939	1613369	1616159	1065.8	663
EOG09261727	Complete	tig00000154	2959697	2963155	407.9	571
EOG092617AN	Complete	tig00007953	2985455	2989005	1242.5	904
EOG092617RN	Complete	tig00007936	1941251	1943759	1092.3	572
EOG092617RY	Complete	tig00007953	2474485	2476519	304.7	365
EOG092617S2	Complete	tig00000154	2181659	2184107	609.0	464
EOG09261801	Complete	tig00007956	3341299	3345012	401.5	346
EOG092618J9	Complete	tig00007939	3585002	3587056	422.3	349
EOG092618M2	Complete	tig00000154	1447703	1451281	380.8	308
EOG092618UZ	Complete	tig00007953	1917418	1919795	242.6	323
EOG0926195C	Complete	tig00007956	656329	658133	250.2	316
EOG092619EA	Complete	tig00007956	1989486	1991458	613.2	371
EOG092619GP	Complete	tig00007939	2927928	2929926	423.3	366
EOG092619L1	Complete	tig00000347	338148	340040	450.6	385
EOG092619MJ	Complete	tig00000347	1603691	1606015	619.7	457
EOG092619NK	Complete	tig00007953	3860166	3862266	908.4	567
EOG092619RJ	Complete	tig00007953	1193132	1195274	750.9	580
EOG092619VG	Complete	tig00000154	3363772	3366282	371.0	378
EOG09261A3K	Complete	tig00007956	3242007	3245574	1100.5	923
EOG09261ABB	Complete	tig00007946	2320112	2322909	574.7	417
EOG09261ACJ	Complete	tig00000154	1341088	1343524	535.1	533
EOG09261AH9	Complete	tig00007946	2326900	2329231	698.3	465
EOG09261AMX	Complete	tig00007956	1797659	1799779	634.7	385
EOG09261B14	Complete	tig00007946	1889441	1892335	503.0	411
EOG09261B18	Complete	tig00007946	2566980	2570474	586.1	613
EOG09261B3Q	Complete	tig00007956	3687658	3690070	465.2	466
EOG09261B6Y	Complete	tig00007953	4330971	4332826	642.1	419
EOG09261BP0	Complete	tig00007939	1571579	1573618	408.7	359
EOG09261BPJ	Complete	tig00000154	2811346	2813625	420.6	448
EOG09261C0G	Complete	tig00000154	3896784	3899476	656.5	520
EOG09261CM0	Complete	tig00007953	2998955	3000951	578.0	471
EOG09261CQG	Complete	tig00007956	3143731	3145590	602.9	450
EOG09261CWO	Complete	tig00007939	3407036	3409548	310.5	440
EOG09261CXQ	Complete	tig00007953	2934746	2937133	391.3	481
EOG09261D4D	Complete	tig00000347	2275113	2276993	478.8	388
EOG09261DG0	Complete	tig00007946	2062188	2066990	240.5	269
EOG09261DGU	Complete	tig00000347	751167	753594	714.9	502
EOG09261DHR	Complete	tig00007953	3577310	3579029	819.4	484
EOG09261DJC	Complete	tig00007936	2784869	2786717	332.1	370
EOG09261DRB	Complete	tig00007936	2475563	2477972	162.0	241
EOG09261DW8	Complete	tig00007936	2854361	2856040	615.7	443
EOG09261EAB	Complete	tig00007939	3908241	3909998	507.8	339
EOG09261EM7	Complete	tig00007936	1793292	1795973	322.2	301
EOG09261EMF	Complete	tig00007936	1336721	1338754	296.2	251
EOG09261EU7	Complete	tig00007965	2426702	2429110	374.1	259
EOG09261EY9	Complete	tig00000154	1650826	1657188	434.9	423
EOG09261F73	Complete	tig00007965	2219293	2221107	777.0	412
EOG09261F9G	Complete	tig00007946	1021782	1022631	187.1	140
EOG09261FAB	Complete	tig00007953	970666	972296	216.9	200
EOG09261FAX	Complete	tig00007946	1452430	1454505	425.0	466
EOG09261FH7	Complete	tig00007953	3423828	3425799	708.9	506
EOG09261FM4	Complete	tig00007953	3589896	3591893	407.3	388
EOG09261G1Y	Complete	tig00007939	1055431	1057584	1189.3	617
EOG09261G4Z	Complete	tig00007956	2407405	2409773	351.7	302
EOG09261G92	Complete	tig00007936	4673493	4675263	312.6	217
EOG09261H5E	Complete	tig00007953	3316928	3319057	444.9	369
EOG09261HB6	Complete	tig00007953	1457393	1458967	411.4	307
EOG09261HM3	Complete	tig00007953	1762192	1764061	919.8	483
EOG09261HQU	Complete	tig00007936	2566027	2568576	253.6	238
EOG09261HZD	Complete	tig00007946	2073909	2076962	482.7	389
EOG09261I0F	Complete	tig00007936	5559628	5561401	315.2	327
EOG09261I1G	Complete	tig00007939	3077342	3080521	360.1	401
EOG09261I1I	Complete	tig00007965	2254582	2257759	566.0	472
EOG09261I8J	Complete	tig00007939	2935635	2937529	385.9	341
EOG09261IBJ	Complete	tig00000523	2208854	2211395	568.2	484
EOG09261ICI	Complete	tig00007946	1074665	1076319	436.5	328
EOG09261IEH	Complete	tig00007953	2203574	2205500	445.4	329
EOG09261IEV	Complete	tig00007965	1864685	1866441	450.7	411
EOG09261IFQ	Complete	tig00007936	2362204	2364816	612.0	598
EOG09261IOS	Complete	tig00000347	136828	139135	611.3	426
EOG09261J0P	Complete	tig00007939	3567308	3569179	951.9	494
EOG09261JCQ	Complete	tig00000347	262752	264654	545.9	346
EOG09261JR0	Complete	tig00007953	445015	446925	410.0	299
EOG09261JUE	Complete	tig00007946	1094992	1096944	822.2	459
EOG09261JVS	Complete	tig00007953	3544184	3546127	398.6	319
EOG09261JWS	Complete	tig00000154	2132806	2134977	586.0	394
EOG09261K9J	Complete	tig00000154	3047764	3050338	390.6	421
EOG09261KHB	Duplicated	tig00007936	1735137	1737016	974.9	455
EOG09261KHB	Duplicated	tig00007949	204820	206673	972.0	455
EOG09261KRX	Missing
EOG09261KZ6	Complete	tig00007939	3251423	3257190	446.5	261
EOG09261L4M	Complete	tig00007936	1528953	1530926	595.0	466
EOG09261LEU	Complete	tig00007939	1832869	1834661	391.3	325
EOG09261LPY	Complete	tig00000154	1232075	1234279	474.4	283
EOG09261LV7	Complete	tig00000154	2222936	2225125	552.1	503
EOG09261M4S	Complete	tig00007953	3691977	3693472	408.4	352
EOG09261M78	Complete	tig00000154	3753760	3755498	596.0	390
EOG09261MG9	Complete	tig00007936	4747015	4748801	727.7	382
EOG09261MMR	Complete	tig00000347	459282	460868	440.4	367
EOG09261MOX	Complete	tig00007953	4726574	4728969	604.9	575
EOG09261MPU	Complete	tig00000347	826797	828403	544.4	343
EOG09261N20	Complete	tig00007946	2469895	2471551	232.9	268
EOG09261N2L	Complete	tig00007939	3941457	3942931	288.3	264
EOG09261N64	Complete	tig00007936	4428979	4430959	784.0	436
EOG09261NLR	Complete	tig00000154	1563667	1565596	834.3	474
EOG09261NLY	Complete	tig00000347	774233	775930	728.6	446
